Id,Release_Date,Title,Vote_Average,Original_Language,Genre
0,2021-12-15,Spider-Man: No Way Home,8.3,en,"Action, Adventure, Science Fiction"
1,2022-03-01,The Batman,8.1,en,"Crime, Mystery, Thriller"
2,2022-02-25,No Exit,6.3,en,Thriller
3,2021-11-24,Encanto,7.7,en,"Animation, Comedy, Family, Fantasy"
4,2021-12-22,The King's Man,7,en,"Action, Adventure, Thriller, War"
5,2022-01-07,The Commando,6.6,en,"Action, Crime, Thriller"
6,2022-01-12,Scream,6.8,en,"Horror, Mystery, Thriller"
7,2022-02-10,Kimi,6.3,en,Thriller
8,2022-02-17,Fistful of Vengeance,5.3,en,"Action, Crime, Fantasy"
9,2021-11-03,Eternals,7.2,en,Science Fiction
10,2022-02-18,Pursuit,5.9,en,"Action, Crime, Thriller"
11,2021-08-06,My Hero Academia: World Heroes' Mission,7.3,ja,"Animation, Action, Fantasy, Adventure"
12,2022-02-25,Restless,5.9,fr,"Action, Thriller, Crime"
13,2021-12-02,Nightmare Alley,7.1,en,"Crime, Drama, Thriller"
14,2022-01-28,The Ice Age Adventures of Buck Wild,7.1,en,"Animation, Comedy, Adventure, Family"
15,2022-02-25,Hotel Transylvania: Transformania,7,en,"Animation, Family, Fantasy, Comedy, Adventure"
16,2022-02-18,Texas Chainsaw Massacre,5.1,en,Horror
17,2022-01-28,The Requin,4.6,en,Thriller
18,2022-02-04,Looop Lapeta,6,hi,"Action, Comedy, Crime"
19,2021-11-04,Red Notice,6.8,en,"Action, Comedy, Crime, Thriller"
20,2021-12-01,Sing 2,8.2,en,"Animation, Comedy, Family, Music"
21,2022-01-03,The Jack in the Box: Awakening,5.4,en,Horror
22,2021-09-30,Venom: Let There Be Carnage,7.1,en,"Science Fiction, Action, Adventure"
23,2021-12-16,The Matrix Resurrections,6.8,en,"Science Fiction, Action, Adventure"
24,2021-11-24,Resident Evil: Welcome to Raccoon City,6.1,en,"Horror, Action, Science Fiction"
25,2021-10-19,Last Man Down,6.3,en,"Action, Thriller"
26,2022-01-07,American Siege,5.4,en,"Action, Thriller, Crime, Drama"
27,2022-02-10,Uncharted,7.1,en,"Action, Adventure"
28,2020-10-16,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,8.4,ja,"Animation, Action, Adventure, Fantasy"
29,2021-11-11,Ghostbusters: Afterlife,7.7,en,"Fantasy, Comedy, Adventure"
30,2022-01-05,The 355,6.1,en,"Action, Thriller"
31,2021-09-01,Shang-Chi and the Legend of the Ten Rings,7.7,en,"Action, Adventure, Fantasy"
32,2022-02-09,Marry Me,6.9,en,"Romance, Comedy, Music"
33,2022-01-21,The Hunting,5.8,en,Horror
34,2021-12-08,West Side Story,7.4,en,"Drama, Romance, Crime"
35,2022-02-04,Through My Window,7.8,es,"Romance, Drama"
36,2021-07-02,The Seven Deadly Sins: Cursed by Light,8,ja,"Animation, Fantasy"
37,2021-11-05,One Shot,6.8,en,Action
38,2022-01-24,Tom and Jerry: Cowboy Up!,7.1,en,"Animation, Comedy, Family, Western"
39,2020-10-15,Chernobyl: Abyss,6.2,ru,"Drama, History, Adventure"
40,2022-02-25,Desperate Riders,6.8,en,"Western, Action"
41,2021-11-10,Clifford the Big Red Dog,7.3,en,"Family, Adventure, Comedy, Fantasy"
42,2022-02-25,Tyler Perry's A Madea Homecoming,6.7,en,Comedy
43,2021-07-01,The Boss Baby: Family Business,7.6,en,"Animation, Comedy, Adventure, Family"
44,2022-03-10,Turning Red,8.6,en,"Animation, Family, Comedy, Fantasy"
45,2022-01-13,Brazen,4.8,en,"Thriller, Mystery, Drama"
46,2022-01-14,The House,7.1,en,"Animation, Drama, Comedy, Horror"
47,2022-02-10,Blacklight,5.1,en,"Action, Thriller"
48,2021-10-15,Ron's Gone Wrong,8.1,en,"Animation, Science Fiction, Family, Comedy"
49,2021-08-11,Free Guy,7.7,en,"Comedy, Action, Adventure, Science Fiction"
50,2021-05-26,Cruella,8.2,en,"Comedy, Crime"
51,2021-07-28,The Suicide Squad,7.7,en,"Action, Adventure, Fantasy"
52,2021-11-12,The Simpsons in Plusaversary,6.6,en,"Animation, Comedy, Fantasy"
53,2022-01-17,Forgive Us Our Trespasses,6.3,en,"Drama, War"
54,2021-06-17,Luca,8,en,"Animation, Comedy, Family, Fantasy"
55,2021-04-07,Mortal Kombat,7.2,en,"Action, Fantasy, Adventure"
56,2021-03-18,Zack Snyder's Justice League,8.3,en,"Action, Adventure, Fantasy, Science Fiction"
57,2021-12-17,Mother/Android,5.8,en,"Science Fiction, Thriller"
58,1986-11-04,Exploits of a Young Don Juan,5.5,fr,"Comedy, Drama"
59,2021-09-15,Dune,7.9,en,"Science Fiction, Adventure"
60,2021-01-01,The Last Warrior: Root of Evil,7.1,ru,"Fantasy, Adventure, Comedy"
61,2022-02-09,The Privilege,5.1,de,Horror
62,2021-06-11,Queen of Spades,6.4,en,Horror
63,2021-10-28,Antlers,6.4,en,"Drama, Horror, Mystery"
64,2021-11-05,Dangerous,6.4,en,"Action, Thriller"
65,2021-09-01,After We Fell,7.2,en,"Romance, Drama"
66,2021-09-29,No Time to Die,7.5,en,"Adventure, Action, Thriller"
67,2021-11-05,Sooryavanshi,5.8,hi,"Action, Crime, Thriller"
68,2021-11-04,Finch,8.1,en,"Science Fiction, Drama, Adventure"
69,2021-07-23,Two,5.4,es,"Thriller, Horror"
70,2021-08-09,PAW Patrol: The Movie,7.5,en,"Animation, Family, Adventure, Comedy"
71,2018-04-25,Avengers: Infinity War,8.3,en,"Adventure, Action, Science Fiction"
72,1989-06-23,Batman,7.2,en,"Fantasy, Action"
73,2021-07-07,Black Widow,7.5,en,"Action, Adventure, Science Fiction"
74,2022-02-18,The Wonderful Winter of Mickey Mouse,5.7,en,"Animation, Comedy"
75,2021-05-19,F9,7.3,en,"Action, Crime, Thriller, Adventure"
76,2022-02-03,Moonfall,5.9,en,"Action, Adventure, Science Fiction"
77,2022-02-04,"Sex, Shame and Tears 2",2.2,es,"Comedy, Drama"
78,2021-12-03,Diary of a Wimpy Kid,6.5,en,"Animation, Comedy, Family"
79,2022-02-15,AI Love You,5.3,th,"Comedy, Romance, Science Fiction"
80,2022-03-30,Sonic the Hedgehog 2,0,en,"Action, Science Fiction, Comedy, Family"
81,2022-02-17,Erax,5.7,en,"Mystery, Family"
82,2020-08-04,Deathstroke: Knights & Dragons - The Movie,6.9,en,"Animation, Action, Adventure, Science Fiction"
83,2021-10-13,The Last Duel,7.6,en,"Action, Drama, History"
84,2022-01-26,The Pirates: The Last Royal Treasure,6.6,ko,"Action, Adventure, Comedy, History"
85,2021-10-29,Paranormal Activity: Next of Kin,6.5,en,"Horror, Mystery, Thriller"
86,2021-11-24,House of Gucci,6.8,en,"Drama, Crime, Thriller"
